Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,59.15999984741211,59.2599983215332,58.349998474121094,58.939998626708984,57.24140167236328,546700.0
2017-01-04,58.84000015258789,59.47999954223633,58.790000915527344,59.40999984741211,57.69786071777344,373000.0
2017-01-05,59.439998626708984,59.880001068115234,59.340999603271484,59.36000061035156,57.64929962158203,304800.0
2017-01-06,58.970001220703125,59.15999984741211,58.810001373291016,58.939998626708984,57.24140167236328,280500.0
2017-01-09,57.77000045776367,58.5,57.560001373291016,58.279998779296875,56.60042190551758,409300.0
2017-01-10,58.97999954223633,59.18000030517578,58.7400016784668,58.97999954223633,57.280250549316406,345400.0
2017-01-11,59.0,59.4900016784668,58.849998474121094,59.40999984741211,57.69786071777344,289700.0
2017-01-12,60.56999969482422,60.6349983215332,58.0099983215332,59.279998779296875,57.57160186767578,825500.0
2017-01-13,60.099998474121094,60.25699996948242,59.52000045776367,59.83000183105469,58.10575485229492,376800.0
2017-01-17,59.65999984741211,59.90999984741211,59.59000015258789,59.81999969482422,58.096046447753906,317700.0
2017-01-18,60.0,60.099998474121094,59.7400016784668,59.900001525878906,58.17374038696289,238900.0
2017-01-19,59.86000061035156,60.4900016784668,59.86000061035156,60.459999084472656,58.71759796142578,255800.0
2017-01-20,60.310001373291016,60.5,60.0099983215332,60.349998474121094,58.61076736450195,205500.0
2017-01-23,61.06999969482422,61.279998779296875,60.93000030517578,61.08000183105469,59.319732666015625,581800.0
2017-01-24,62.459999084472656,62.7599983215332,61.97999954223633,62.68000030517578,60.87362289428711,828000.0
2017-01-25,62.779998779296875,62.91999816894531,62.27000045776367,62.560001373291016,60.757080078125,511400.0
2017-01-26,61.939998626708984,62.380001068115234,61.7599983215332,61.86000061035156,60.07725143432617,377600.0
2017-01-27,62.029998779296875,62.13999938964844,61.81999969482422,62.0099983215332,60.22292709350586,230700.0
2017-01-30,60.91999816894531,61.220001220703125,60.65999984741211,60.939998626708984,59.18376541137695,446000.0
2017-01-31,60.939998626708984,62.68600082397461,60.939998626708984,62.130001068115234,60.33946990966797,732800.0
2017-02-01,62.5,62.59000015258789,61.66999816894531,62.13999938964844,60.34918212890625,372700.0
2017-02-02,65.01000213623047,65.12000274658203,64.19999694824219,64.61000061035156,62.74800491333008,896700.0
2017-02-03,65.48999786376953,65.80999755859375,65.41000366210938,65.69999694824219,63.806583404541016,713300.0
