Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,800.6199951171875,811.4400024414062,796.8900146484375,808.010009765625,808.010009765625,1959000
2017-01-04,809.8900146484375,813.4299926757812,804.1099853515625,807.77001953125,807.77001953125,1515300
2017-01-05,807.5,813.739990234375,805.9199829101562,813.02001953125,813.02001953125,1340500
2017-01-06,814.989990234375,828.9600219726562,811.5,825.2100219726562,825.2100219726562,2017100
2017-01-09,826.3699951171875,830.4299926757812,821.6199951171875,827.1799926757812,827.1799926757812,1408900
2017-01-10,827.0700073242188,829.4099731445312,823.1400146484375,826.010009765625,826.010009765625,1197400
2017-01-11,826.6199951171875,829.9000244140625,821.469970703125,829.8599853515625,829.8599853515625,1325400
2017-01-12,828.3800048828125,830.3800048828125,821.010009765625,829.530029296875,829.530029296875,1349500
2017-01-13,831.0,834.6500244140625,829.52001953125,830.9400024414062,830.9400024414062,1290200
2017-01-17,830.0,830.1799926757812,823.2000122070312,827.4600219726562,827.4600219726562,1440900
2017-01-18,829.7999877929688,829.8099975585938,824.0800170898438,829.02001953125,829.02001953125,1027700
2017-01-19,829.0,833.0,823.9600219726562,824.3699951171875,824.3699951171875,1070500
2017-01-20,829.0900268554688,829.239990234375,824.5999755859375,828.1699829101562,828.1699829101562,1306200
2017-01-23,831.6099853515625,845.5399780273438,828.7000122070312,844.4299926757812,844.4299926757812,2457400
2017-01-24,846.97998046875,851.52001953125,842.280029296875,849.530029296875,849.530029296875,1688400
2017-01-25,853.5499877929688,858.7899780273438,849.739990234375,858.4500122070312,858.4500122070312,1655400
2017-01-26,859.0499877929688,861.0,850.52001953125,856.97998046875,856.97998046875,3493300
2017-01-27,859.0,867.0,841.9000244140625,845.030029296875,845.030029296875,3752500
2017-01-30,837.0599975585938,837.22998046875,821.030029296875,823.8300170898438,823.8300170898438,3516900
2017-01-31,819.5,823.0700073242188,813.4000244140625,820.1900024414062,820.1900024414062,2020200
2017-02-01,824.0,824.0,812.25,815.239990234375,815.239990234375,2251000
2017-02-02,815.0,824.5599975585938,812.0499877929688,818.260009765625,818.260009765625,1689200
2017-02-03,823.1300048828125,826.1300048828125,819.3499755859375,820.1300048828125,820.1300048828125,1528100
2017-02-06,820.9199829101562,822.3900146484375,814.2899780273438,821.6199951171875,821.6199951171875,1350900
2017-02-07,825.5,831.9199829101562,823.2899780273438,829.22998046875,829.22998046875,1666600
2017-02-08,830.530029296875,834.25,825.1099853515625,829.8800048828125,829.8800048828125,1302200
2017-02-09,831.72998046875,831.97998046875,826.5,830.0599975585938,830.0599975585938,1194200
2017-02-10,832.9500122070312,837.1500244140625,830.510009765625,834.8499755859375,834.8499755859375,1415100
2017-02-13,837.7000122070312,841.739990234375,836.25,838.9600219726562,838.9600219726562,1295700
2017-02-14,839.77001953125,842.0,835.8300170898438,840.030029296875,840.030029296875,1363300
2017-02-15,838.8099975585938,841.77001953125,836.219970703125,837.3200073242188,837.3200073242188,1357200
2017-02-16,838.5,842.6900024414062,837.260009765625,842.1699829101562,842.1699829101562,1005100
